Class ID,Images Count,Spcies Name
669,118,Dunlin (Nonbreeding/juvenile)
499,118,Merlin
446,118,Bonaparte's Gull
912,118,Common Grackle
831,118,Bewick's Wren
884,118,Canada Warbler
857,118,American Pipit
616,118,Mallard (Female/Eclipse male)
930,118,Say's Phoebe
958,118,Yellow-rumped Warbler (Breeding Audubon's)
811,118,Carolina Chickadee
827,117,Brown Creeper
527,117,Eurasian Collared-Dove
400,117,Herring Gull (Adult)
458,117,Mute Swan
358,117,Cooper's Hawk (Adult)
1003,117,House Sparrow (Female/Juvenile)
528,117,White-winged Dove
957,117,American Crow
515,116,Marbled Godwit
866,116,Tennessee Warbler
908,116,Dickcissel
802,116,Common Raven
850,116,Varied Thrush
509,116,Solitary Sandpiper
747,116,Yellow-rumped Warbler (Breeding Myrtle)
470,116,Pied-billed Grebe
760,116,Chestnut-sided Warbler (Breeding male)
903,116,Lincoln's Sparrow
804,116,Tree Swallow
963,116,Common Yellowthroat (Female/immature male)
338,116,California Quail (Male)
748,116,European Starling (Breeding Adult)
315,116,Gadwall (Breeding male)
898,115,Vesper Sparrow
779,115,Bobolink (Breeding male)
960,115,American Robin (Juvenile)
886,115,Yellow-breasted Chat
913,114,Boat-tailed Grackle
867,114,Orange-crowned Warbler
814,114,Chestnut-backed Chickadee
832,114,House Wren
510,113,Greater Yellowlegs
904,113,Swamp Sparrow
797,113,Vermilion Flycatcher (Adult male)
932,113,Great Crested Flycatcher
798,113,Yellow-rumped Warbler (Winter/juvenile Myrtle)
974,113,Golden-crowned Sparrow (Immature)
375,113,Anna's Hummingbird (Adult Male)
803,113,Horned Lark
925,113,Least Flycatcher
498,112,Crested Caracara
899,112,Lark Sparrow
968,112,Blackpoll Warbler (Female/juvenile)
946,112,Warbling Vireo
997,112,House Finch (Female/immature)
775,111,Blue Grosbeak (Adult Male)
853,111,Brown Thrasher
874,111,Blackburnian Warbler
481,111,Great Egret
862,111,Northern Waterthrush
503,111,Semipalmated Plover
749,111,Fox Sparrow (Red)
351,110,Reddish Egret (Dark morph)
889,110,Eastern Towhee
523,110,Wilson's Snipe
894,110,American Tree Sparrow
662,110,"American Kestrel (Female, immature)"
674,109,"Anna's Hummingbird (Female, immature)"
348,109,Double-crested Cormorant (Immature)
813,109,Mountain Chickadee
871,109,Hooded Warbler
934,109,Western Kingbird
549,109,Belted Kingfisher
536,109,Barn Owl
774,109,Black-headed Grosbeak (Adult Male)
895,109,Clay-colored Sparrow
656,109,Sharp-shinned Hawk (Immature)
786,109,Baltimore Oriole (Adult male)
924,108,Eastern Wood-Pewee
676,108,"Calliope Hummingbird (Female, immature)"
368,108,Spotted Sandpiper (Breeding)
490,108,Turkey Vulture
484,108,Cattle Egret
877,108,Pine Warbler
922,108,Pine Siskin
516,108,Ruddy Turnstone
847,107,Swainson's Thrush
795,107,Evening Grosbeak (Adult Male)
380,107,Allen's Hummingbird (Adult Male)
335,106,Hooded Merganser (Breeding male)
319,106,Cinnamon Teal (Male)
491,106,Osprey
347,106,"Northern Gannet (Adult, Subadult)"
810,106,Barn Swallow
332,106,Bufflehead (Breeding male)
843,106,Western Bluebird
923,105,Western Wood-Pewee
525,105,Rock Pigeon
965,105,Magnolia Warbler (Female/immature male)
333,105,Common Goldeneye (Breeding male)
519,105,Semipalmated Sandpiper
876,104,Palm Warbler
834,104,Winter Wren
962,104,Snow Bunting (Nonbreeding)
482,104,Snowy Egret
473,104,Wood Stork
865,103,Prothonotary Warbler
897,103,Field Sparrow
539,103,Great Horned Owl
541,103,Northern Pygmy-Owl
788,103,Purple Finch (Adult Male)
990,103,Brown-headed Cowbird (Female/Juvenile)
654,103,"Bald Eagle (Immature, juvenile)"
878,103,Yellow-throated Warbler
860,103,Ovenbird
757,103,American Redstart (Adult Male)
530,103,Inca Dove
872,103,Cape May Warbler
480,102,Great Blue Heron
508,102,American Avocet
776,102,Lazuli Bunting (Adult Male)
844,101,Mountain Bluebird
980,101,Rose-breasted Grosbeak (Female/immature male)
366,101,Common Gallinule (Adult)
647,101,Double-crested Cormorant (Adult)
607,101,Herring Gull (Immature)
374,101,Black-chinned Hummingbird (Adult Male)
513,101,Whimbrel
373,100,Ruby-throated Hummingbird (Adult Male)
944,100,Blue-headed Vireo
542,99,Burrowing Owl
758,99,Magnolia Warbler (Breeding male)
557,99,Ladder-backed Woodpecker
651,99,Black-crowned Night-Heron (Immature)
550,99,Acorn Woodpecker
353,98,Yellow-crowned Night-Heron (Adult)
993,98,Baltimore Oriole (Female/Immature male)
667,98,Spotted Sandpiper (Nonbreeding/juvenile)
768,98,Dark-eyed Junco (Oregon)
555,98,Red-naped Sapsucker
976,98,Chipping Sparrow (Immature/nonbreeding adult)
544,98,Northern Saw-whet Owl
486,98,Glossy Ibis
955,98,Black-billed Magpie
785,98,Bullock's Oriole (Adult male)
551,97,Gila Woodpecker
322,97,Green-winged Teal (Male)
859,97,Cedar Waxwing
770,97,Scarlet Tanager (Breeding Male)
489,97,Black Vulture
514,96,Long-billed Curlew
948,96,Gray Jay
613,96,Wood Duck (Female/Eclipse male)
812,96,Black-capped Chickadee
316,96,American Wigeon (Breeding male)
668,95,Sanderling (Nonbreeding/juvenile)
356,95,Northern Harrier (Adult male)
495,95,Harris's Hawk
939,94,White-eyed Vireo
538,94,Eastern Screech-Owl
771,94,Western Tanager (Breeding Male)
343,94,Common Loon (Breeding)
533,94,Yellow-billed Cuckoo
640,94,Red-throated Loon (Nonbreeding/juvenile)
784,93,Hooded Oriole (Adult male)
849,93,Wood Thrush
448,93,Caspian Tern
340,93,Ring-necked Pheasant (Male)
379,93,Rufous Hummingbird (Adult Male)
1002,93,Evening Grosbeak (Female/Juvenile)
892,92,California Towhee
453,92,Black Skimmer
558,92,Nuttall's Woodpecker
520,92,Western Sandpiper
328,92,Harlequin Duck (Male)
995,91,Purple Finch (Female/immature)
781,91,Yellow-headed Blackbird (Adult Male)
750,91,Summer Tanager (Adult Male)
371,90,Wilson's Phalarope (Breeding)
907,90,Pyrrhuloxia
761,90,Blackpoll Warbler (Breeding male)
911,90,Rusty Blackbird
981,89,Black-headed Grosbeak (Female/immature male)
954,89,Clark's Nutcracker
372,89,Broad-billed Hummingbird (Adult Male)
845,89,Townsend's Solitaire
323,89,Canvasback (Breeding male)
1009,88,Yellow-rumped Warbler (Winter/juvenile Audubon's)
767,88,Golden-crowned Sparrow (Adult)
984,88,Indigo Bunting (Female/juvenile)
751,88,Orchard Oriole (Adult Male)
846,87,Veery
396,87,Heermann's Gull (Adult)
649,87,Little Blue Heron (Immature)
297,87,Ruddy Duck (Breeding male)
321,87,Northern Pintail (Breeding male)
635,87,Common Merganser (Female/immature male)
985,87,Painted Bunting (Female/juvenile)
500,86,Prairie Falcon
828,86,Cactus Wren
660,86,Rough-legged Hawk (Light morph)
517,86,Black Turnstone
545,86,Common Nighthawk
861,86,Louisiana Waterthrush
602,86,Laughing Gull (Nonbreeding/Immature)
945,85,Hutton's Vireo
556,85,Red-breasted Sapsucker
327,85,Lesser Scaup (Breeding male)
891,84,Canyon Towhee
402,84,Great Black-backed Gull (Adult)
318,83,Blue-winged Teal  (Male)
666,83,Black-bellied Plover (Nonbreeding/juvenile)
821,83,Verdin
971,83,White-throated Sparrow (Tan-striped/immature)
367,82,Black-bellied Plover (Breeding)
931,82,Ash-throated Flycatcher
652,82,Yellow-crowned Night-Heron (Immature)
838,82,American Dipper
472,82,Clark's Grebe
325,82,Ring-necked Duck (Breeding male)
817,82,Oak Titmouse
378,81,Broad-tailed Hummingbird (Adult Male)
658,81,Red-shouldered Hawk (Immature)
393,81,Pigeon Guillemot (Breeding)
362,81,Golden Eagle (Adult)
982,81,Blue Grosbeak (Female/juvenile)
505,80,American Oystercatcher
825,80,Pygmy Nuthatch
890,80,Rufous-crowned Sparrow
459,80,Trumpeter Swan
604,80,Ring-billed Gull (Immature)
494,80,Mississippi Kite
789,80,Cassin's Finch (Adult Male)
933,80,Cassin's Kingbird
619,79,Northern Shoveler (Female/Eclipse male)
858,79,Bohemian Waxwing
901,79,Fox Sparrow (Sooty)
967,78,Chestnut-sided Warbler (Female/immature male)
636,78,Red-breasted Merganser (Female/immature male)
401,78,Glaucous-winged Gull (Adult)
854,78,Curve-billed Thrasher
896,78,Brewer's Sparrow
377,78,Calliope Hummingbird (Adult Male)
552,77,Golden-fronted Woodpecker
496,77,Swainson's Hawk (Light morph )
337,77,Red-breasted Merganser (Breeding male)
806,77,Northern Rough-winged Swallow
870,77,Mourning Warbler
364,77,Peregrine Falcon (Adult)
936,77,Scissor-tailed Flycatcher
1004,76,"Vermilion Flycatcher (Female, immature)"
399,76,California Gull (Adult)
994,76,Pine Grosbeak (Female/juvenile)
370,76,Dunlin (Breeding)
698,76,Ruddy Duck (Female/juvenile)
909,76,Eastern Meadowlark
452,76,Royal Tern
344,76,Horned Grebe (Breeding)
942,75,Plumbeous Vireo
526,75,Band-tailed Pigeon
855,75,California Thrasher
805,75,Violet-green Swallow
468,75,Ruffed Grouse
531,75,Common Ground-Dove
880,75,Black-throated Gray Warbler
920,75,Common Redpoll
349,75,Great Cormorant (Adult)
471,75,Western Grebe
507,74,Black-necked Stilt
863,74,Blue-winged Warbler
376,74,Costa's Hummingbird (Adult Male)
808,74,Cliff Swallow
537,74,Western Screech-Owl
365,74,Purple Gallinule (Adult)
839,74,Golden-crowned Kinglet
943,73,Cassin's Vireo
1000,73,Lesser Goldfinch (Female/juvenile)
346,73,Eared Grebe (Breeding)
826,72,Brown-headed Nuthatch
493,72,White-tailed Kite
680,72,Red-headed Woodpecker (Immature)
326,72,Greater Scaup (Breeding male)
988,72,Yellow-headed Blackbird (Female/Immature Male)
1010,72,Dark-eyed Junco (Red-backed/Gray-headed)
540,72,Snowy Owl
969,72,Black-throated Blue Warbler (Female/Immature male)
1005,72,European Starling (Juvenile)
454,71,Greater White-fronted Goose
534,71,Black-billed Cuckoo
961,71,Phainopepla (Male)
915,71,Bronzed Cowbird
339,71,Gambel's Quail (Male)
359,70,Red-shouldered Hawk (Adult )
679,70,"Allen's Hummingbird (Female, immature)"
329,70,Surf Scoter (Male)
820,70,Black-crested Titmouse
398,70,Western Gull (Adult)
678,70,"Rufous Hummingbird (Female, immature)"
752,70,Purple Martin (Adult male)
927,70,Cordilleran Flycatcher
986,69,Bobolink (Female/juvenile/nonbreeding male)
941,69,Yellow-throated Vireo
991,69,Hooded Oriole (Female/Immature male)
959,67,Purple Martin (Female/juvenile)
298,67,Swainson's Hawk (Dark morph )
972,67,Harris's Sparrow (Immature)
970,67,Lark Bunting (Female/Nonbreeding male)
998,67,Red Crossbill (Female/juvenile)
782,66,Brewer's Blackbird (Female/Juvenile)
474,66,Brandt's Cormorant
324,66,Redhead (Breeding male)
977,66,Scarlet Tanager (Female/Nonbreeding Male)
634,66,Hooded Merganser (Female/immature male)
487,66,White-faced Ibis
882,66,Hermit Warbler
869,66,MacGillivray's Warbler
548,66,White-throated Swift
475,65,Neotropic Cormorant
506,65,Black Oystercatcher
978,65,Western Tanager (Female/Nonbreeding Male)
535,65,Greater Roadrunner
461,65,American Black Duck
631,65,Bufflehead (Female/immature male)
479,65,Brown Pelican
791,65,Red Crossbill (Adult Male)
296,64,Long-tailed Duck (Winter male)
992,64,Bullock's Oriole (Female/Immature male)
645,64,Eared Grebe (Nonbreeding/juvenile)
841,64,Wrentit
917,64,Gray-crowned Rosy-Finch
893,64,Abert's Towhee
478,64,American White Pelican
765,64,Harris's Sparrow (Adult)
829,64,Canyon Wren
653,63,White Ibis (Immature)
449,63,Black Tern
336,63,Common Merganser (Breeding male)
518,63,Surfbird
609,63,Great Black-backed Gull (Immature)
809,62,Cave Swallow
887,62,Green-tailed Towhee
626,62,Lesser Scaup (Female/Eclipse male)
644,62,Red-necked Grebe (Nonbreeding/juvenile)
476,62,Pelagic Cormorant
906,61,Summer Tanager (Female)
800,61,Fish Crow
457,61,Canada Goose
953,61,Mexican Jay
462,60,Mottled Duck
966,60,"Bay-breasted Warbler (Female, Nonbreeding male, Immature)"
488,60,Roseate Spoonbill
921,60,Hoary Redpoll
467,59,Northern Bobwhite
918,59,Black Rosy-Finch
816,59,Bridled Titmouse
905,59,Dark-eyed Junco (Pink-sided)
670,59,"Wilson's Phalarope (Nonbreeding, juvenile)"
956,59,Yellow-billed Magpie
632,58,Common Goldeneye (Female/Eclipse male)
497,58,Red-tailed Hawk (Dark morph)
999,58,White-winged Crossbill (Female/juvenile)
360,58,Broad-winged Hawk (Adult)
787,57,Pine Grosbeak (Adult Male)
940,57,Bell's Vireo
546,57,Chimney Swift
661,56,Golden Eagle (Immature)
677,56,"Broad-tailed Hummingbird (Female, immature)"
1008,55,Orchard Oriole (Female/Juvenile)
951,55,Florida Scrub-Jay
996,55,Cassin's Finch (Female/immature)
447,55,Mew Gull
460,55,Tundra Swan
605,54,Western Gull (Immature)
524,54,American Woodcock
641,54,Pacific Loon (Nonbreeding/juvenile)
601,54,Black-legged Kittiwake (Immature)
606,54,California Gull (Immature)
837,54,Black-tailed Gnatcatcher
345,54,Red-necked Grebe (Breeding)
492,53,Swallow-tailed Kite
792,53,White-winged Crossbill (Adult Male)
547,53,Vaux's Swift
394,53,Black-legged Kittiwake (Adult)
295,53,Common Eider (Adult male)
663,53,Peregrine Falcon (Immature)
455,52,Brant
637,51,California Quail (Female/juvenile)
610,51,Black-bellied Whistling-Duck
624,50,Ring-necked Duck (Female/Eclipse male)
502,50,Sandhill Crane
361,50,Rough-legged Hawk (Dark morph)
919,50,Brown-capped Rosy-Finch
916,49,Orchard Oriole (Immature Male)
801,49,Chihuahuan Raven
611,49,Snow Goose (Blue morph)
608,49,Glaucous-winged Gull (Immature)
759,48,Bay-breasted Warbler (Breeding male)
815,48,Boreal Chickadee
629,48,White-winged Scoter (Female/juvenile)
465,48,Ruddy Duck (Winter male)
620,47,Northern Pintail (Female/Eclipse male)
313,47,Snow Goose (White morph)
659,47,Broad-winged Hawk (Immature)
818,47,Juniper Titmouse
621,47,Green-winged Teal  (Female/juvenile)
603,47,Heermann's Gull (Immature)
650,46,Reddish Egret (White morph)
612,46,Ross's Goose
532,46,Monk Parakeet
392,45,Black Guillemot (Breeding)
334,45,Barrow's Goldeneye (Breeding male)
696,45,Common Eider (Immature/Eclipse male)
697,44,Long-tailed Duck (Female/juvenile)
330,44,White-winged Scoter (Male)
983,44,Lazuli Bunting (Female/juvenile)
699,44,Swainson's Hawk (Immature)
628,44,Surf Scoter (Female/immature)
671,42,"Broad-billed Hummingbird (Female, immature)"
648,42,Great Cormorant (Immature)
675,42,"Costa's Hummingbird (Female, immature)"
331,41,Black Scoter (Male)
615,41,American Wigeon (Female/Eclipse male)
622,41,Canvasback (Female/Eclipse male)
463,41,Common Eider (Female/juvenile)
630,40,Black Scoter (Female/juvenile)
614,39,Gadwall (Female/Eclipse male)
466,39,Scaled Quail
625,39,Greater Scaup (Female/Eclipse male)
646,39,Northern Gannet (Immature/Juvenile)
600,37,"Pigeon Guillemot (Nonbreeding, juvenile)"
1007,37,Summer Tanager (Immature Male)
833,37,Pacific Wren
638,36,Gambel's Quail (Female/juvenile)
799,36,Northwestern Crow
807,35,Bank Swallow
754,35,Phainopepla (Female/juvenile)
623,34,Redhead (Female/Eclipse male)
599,33,"Black Guillemot (Nonbreeding, juvenile)"
617,33,Blue-winged Teal  (Female/juvenile)
618,32,Cinnamon Teal (Female/juvenile)
639,32,Ring-necked Pheasant (Female/juvenile)
633,32,Barrow's Goldeneye (Female/Eclipse male)
369,31,Sanderling (Breeding)
342,31,Pacific Loon (Breeding)
456,31,Cackling Goose
665,31,Common Gallinule (Immature)
763,30,Lark Bunting (Breeding male)
464,28,Long-tailed Duck (Summer male)
627,27,Harlequin Duck (Female/juvenile)
1006,25,Fox Sparrow (Thick-billed/Slate-colored)
755,24,Snow Bunting (Breeding adult)
341,23,Red-throated Loon (Breeding)
664,21,Purple Gallinule (Immature)
975,13,Dark-eyed Junco (White-winged)
