Index,Class ID,Images Count,XC Recordings Count,Species Name,XC Species Name
77,885,120,99,Wilson's Warbler,Wilson's Warbler
78,886,115,172,Yellow-breasted Chat,Yellow-breasted Chat
79,888,120,459,Spotted Towhee,Spotted Towhee
80,889,110,183,Eastern Towhee,Eastern Towhee
81,897,103,85,Field Sparrow,Field Sparrow
82,898,115,79,Vesper Sparrow,Vesper Sparrow
83,900,120,194,Savannah Sparrow,Savannah Sparrow
84,902,120,557,Song Sparrow,Song Sparrow
85,903,116,117,Lincoln's Sparrow,Lincoln's Sparrow
86,904,113,82,Swamp Sparrow,Swamp Sparrow
87,908,116,105,Dickcissel,Dickcissel
88,910,120,213,Western Meadowlark,Western Meadowlark
89,912,118,84,Common Grackle,Common Grackle
90,914,120,159,Great-tailed Grackle,Great-tailed Grackle
91,922,108,89,Pine Siskin,Pine Siskin
92,923,105,149,Western Wood-Pewee,Western Wood Pewee
93,926,119,108,Pacific-slope Flycatcher,Pacific-slope Flycatcher
94,937,120,95,Loggerhead Shrike,Loggerhead Shrike
95,944,100,101,Blue-headed Vireo,Blue-headed Vireo
96,946,112,175,Warbling Vireo,Warbling Vireo
97,947,120,130,Red-eyed Vireo,Red-eyed Vireo
98,949,120,152,Steller's Jay,Steller's Jay
99,950,120,212,Blue Jay,Blue Jay
100,957,117,223,American Crow,American Crow
101,958,118,94,Yellow-rumped Warbler (Breeding Audubon's),Myrtle Warbler
102,964,119,156,American Redstart (Female/juvenile),American Redstart
103,965,105,112,Magnolia Warbler (Female/immature male),Magnolia Warbler
104,979,120,331,Northern Cardinal (Female/Juvenile),Northern Cardinal
105,987,120,337,Red-winged Blackbird (Female/juvenile),Red-winged Blackbird
